name,n_depots,n_required_edges,n_nodes,lb_opt_1,lb_opt_2,lb_opt,sol_1,sol2,sol,approx,ub_approx
2_10_0,2,10,22,1166.89,1166.89,1166.89,2092,2134,2092,1.7928,1.8,
2_10_1,2,10,22,918.222,918.222,918.222,1639,1708,1639,1.78497,1.8,
2_10_2,2,10,22,1062.22,1062.22,1062.22,1900,1960,1900,1.7887,1.8,
2_10_3,2,10,22,1143.11,1143.11,1143.11,2046,2104,2046,1.78985,1.8,
2_10_4,2,10,22,854.889,854.889,854.889,1524,1598,1524,1.78269,1.8,
2_10_5,2,10,22,1107.22,1107.22,1107.22,1962,2117,1962,1.772,1.8,
2_10_6,2,10,22,1010,1010,1010,1819,1814,1814,1.79604,1.8,
2_10_7,2,10,22,932.444,932.444,932.444,1655,1772,1655,1.7749,1.8,
2_10_8,2,10,22,1036.44,1036.44,1036.44,1850,1928,1850,1.78495,1.8,
2_10_9,2,10,22,803.111,803.111,803.111,1456,1404,1404,1.7482,1.8,
2_10_10,2,10,22,1101.78,1101.78,1101.78,1973,2024,1973,1.79074,1.8,
2_10_11,2,10,22,910,910,910,1659,1554,1554,1.70769,1.8,
2_10_12,2,10,22,1045.33,1045.33,1045.33,1877,1900,1877,1.7956,1.8,
2_10_13,2,10,22,815.222,815.222,815.222,1471,1453,1453,1.78234,1.8,
2_10_14,2,10,22,1056.22,1056.22,1056.22,1880,1986,1880,1.77993,1.8,
2_10_15,2,10,22,1034,1034,1034,1845,1926,1845,1.78433,1.8,
2_10_16,2,10,22,1045.78,1045.78,1045.78,1873,1920,1873,1.79101,1.8,
2_10_17,2,10,22,942.111,942.111,942.111,1717,1611,1611,1.70999,1.8,
2_10_18,2,10,22,1074.44,1074.44,1074.44,1912,2022,1912,1.77952,1.8,
2_10_19,2,10,22,1332.22,1332.22,1332.22,2387,2442,2387,1.79174,1.8,
2_10_20,2,10,22,1064.33,1064.33,1064.33,1902,1971,1902,1.78703,1.8,
2_10_21,2,10,22,1026.44,1026.44,1026.44,1835,1898,1835,1.78772,1.8,
2_10_22,2,10,22,1090.44,1090.44,1090.44,1919,2138,1919,1.75983,1.8,
2_10_23,2,10,22,1213.33,1213.33,1213.33,2169,2244,2169,1.78764,1.8,
2_10_24,2,10,22,876.667,876.667,876.667,1545,1710,1545,1.76236,1.8,
2_10_25,2,10,22,1059.78,1059.78,1059.78,1897,1950,1897,1.79,1.8,
2_10_26,2,10,22,753.333,753.333,753.333,1350,1380,1350,1.79204,1.8,
2_10_27,2,10,22,888.111,888.111,888.111,1617,1525,1525,1.71713,1.8,
2_10_28,2,10,22,1162.56,1162.56,1162.56,2101,2059,2059,1.7711,1.8,
2_10_29,2,10,22,1056.11,1056.11,1056.11,1880,1985,1880,1.78012,1.8,
2_10_30,2,10,22,1054.11,1054.11,1054.11,1853,2075,1853,1.75788,1.8,
2_10_31,2,10,22,1247.78,1247.78,1247.78,2226,2326,2226,1.78397,1.8,
2_10_32,2,10,22,1048.44,1048.44,1048.44,1872,1948,1872,1.7855,1.8,
2_10_33,2,10,22,787.778,787.778,787.778,1408,1458,1408,1.78731,1.8,
2_10_34,2,10,22,959,959,959,1710,1791,1710,1.78311,1.8,
2_10_35,2,10,22,1007.44,1007.44,1007.44,1797,1879,1797,1.78372,1.8,
2_10_36,2,10,22,940.667,940.667,940.667,1671,1782,1671,1.7764,1.8,
2_10_37,2,10,22,1118.22,1118.22,1118.22,1998,2072,1998,1.78676,1.8,
2_10_38,2,10,22,1088.11,1088.11,1088.11,1911,2149,1911,1.75625,1.8,
